episode,reward
0,-1481.6868795992555
1,-46.1024677432749
2,-59.32415213417767
3,-42.083513599889606
4,-63.32748708269582
5,-75.2151221829546
6,-87.87190181146707
7,-79.9105211588105
8,-86.33530305703337
9,-95.22752428928368
10,-60.38387797514752
11,-92.67086303613092
12,-70.37563048976224
13,-67.50713933811035
14,-98.93754859280408
15,-89.0518458025318
16,-54.97350996717545
17,-68.32316123156956
18,-49.12065353465203
19,-98.18618502864265
20,-55.13441871893831
21,-106.74152204657541
22,-55.482543487712206
23,-51.74974757293442
24,-43.19588745981721
25,-74.47987707712764
26,-46.57573579528319
27,-31.79795244889701
28,-25.581215500314663
29,-50.18684959483306
30,-51.07809780824464
31,-62.969966888943446
32,-69.83832212011735
33,-52.155575463019616
34,-36.25828727754942
35,-61.0388270928931
36,-58.78098839635981
37,-104.77175438595006
38,-51.37983829412663
39,-79.89802194943576
40,-107.26148591006925
41,-99.96659579453672
42,-72.14657755162416
43,-60.692995806200685
44,-63.67800335631996
45,-71.87947518043576
46,-101.50927098012
47,-58.18864916483853
48,-78.71721005902339
49,-86.0262330156659
50,-59.6173979319189
51,-55.02669940945509
52,-22.611771294265637
53,-55.91390007648141
54,-40.478219315110636
55,-47.30061437687927
56,-77.61854982538496
57,-41.5045528656822
58,-39.85013864307113
59,-64.62679008463132
60,-62.28613371578542
61,-46.48910762054944
62,-41.39325306696669
63,-90.09700436048425
64,-59.707135655830854
65,-24.62680499217047
66,-61.56438824712109
67,-49.89819861737908
68,-61.14428483429577
69,-99.12723879809441
70,-92.54814188832907
71,-35.02645017791347
72,-44.91997299752006
73,-49.480237896404674
74,-92.60289178774931
75,-59.70481525210341
76,-64.33138669736701
77,-48.43032564415374
78,-62.565139462741854
79,-39.40883217944145
80,-40.30315402042527
81,-41.870947684081415
82,-41.18650725940251
83,-36.88041632996179
84,-38.91006003341655
85,-55.812926754363815
86,-34.62720649352742
87,-51.34099978915972
88,-31.0898571014337
89,-25.962754586489194
90,-43.902118915425994
91,-39.932705433730185
92,-48.82285459219312
93,-51.67401723389371
94,-53.384435929572206
95,-30.91442694041786
96,-30.77765163882007
97,-35.71831524293525
98,-25.275520534457197
99,-50.41389401863165
100,-56.24887932048671
101,-29.584417436344115
102,-21.767947296634816
103,-49.268321323329246
104,-52.8076657815615
105,-51.45658675556057
106,-38.83275498085675
107,-58.12804494724136
108,-41.87727336600036
109,-40.510094866473935
110,-63.51286112010701
111,-46.80448462630103
112,-34.74802214505438
113,-49.43957070530702
114,-31.06824635865415
115,-38.55781011196983
116,-45.10532809336744
117,-54.64664709119934
118,-25.859830714075883
119,-38.16035256129791
120,-33.37294141546985
121,-44.01459533481959
122,-40.67388198441313
123,-29.721437594993507
124,-48.677022383736016
125,-53.13470240251013
126,-38.236455200794666
127,-28.580256660157623
128,-49.25789494112075
129,-37.8804360842945
130,-37.35430689508004
131,-32.158429077741424
132,-51.84527238602556
133,-69.2549911191342
134,-56.09792384608096
135,-33.09312605718687
136,-30.77619468104973
137,-64.16449679796436
138,-30.690480551359105
139,-46.80072258465885
140,-53.67351243877578
141,-38.72108701766327
142,-45.98707370658341
143,-54.59484973153332
144,-38.970806659275766
145,-39.54010844304833
146,-131.4426098512077
147,-107.44485949911892
148,-34.007916572528
149,-21.159542945520826
150,-22.961130613044148
151,-26.700483356853177
152,-22.272786382452633
153,-39.84131998619084
154,-63.61720407729469
155,-31.313774484927144
156,-36.969437398625466
157,-46.63296233985698
158,-32.585347949633714
159,-36.944691436558365
160,-33.26368378954068
161,-50.24910457486274
162,-35.43879493855942
163,-32.16079382024528
164,-46.88628413560071
165,-58.679749762139814
166,-25.178757100551255
167,-61.91887190192205
168,-32.856114393415325
169,-90.5042363418815
170,-33.00277210628085
171,-46.8967874804195
172,-66.29555360833278
173,-27.264770712212353
174,-138.08907435354772
175,-25.39904366240922
176,-22.89329566019866
177,-100.72527746655999
178,-117.93897898682278
179,-29.96165737733587
180,-31.582882380435763
181,-32.653224139474396
182,-25.271445603880622
183,-25.897461132602864
184,-70.75197699930543
185,-31.707792267907543
186,-33.282131188246105
187,-28.671903758440447
188,-76.12882265842296
189,-135.9874986813223
190,-71.79585390628434
191,-99.68937899507155
192,-86.86861343687077
193,-37.0214333025953
194,-28.922671089062852
195,-82.52314444241053
196,-130.30149373140955
197,-41.99261581307849
198,-43.076494046651604
199,-77.36489781247595
200,-34.26331786435242
201,-27.273260194784704
202,-38.20007054829989
203,-66.70198227762808
204,0.0
205,-36.581898376653655
206,-32.83059459331289
207,-114.35216082161065
208,-95.67351602317079
209,-26.56156610615681
210,-27.028894613756727
211,-28.616846552413996
212,-31.20774381972771
213,-58.99351533828135
214,-26.412301085091137
215,-99.16213673484137
216,-40.1037075113309
217,-20.723054232073558
218,-163.68091810622658
219,-73.40821787504156
