episode,reward
0,-106.28445975615487
1,-81.53340176840575
2,-113.35319030038332
3,0.0
4,-75.38429973721496
5,0.0
6,-405.8055943252829
7,-316.078231026746
8,-72.60414568694478
9,-86.52160294627558
10,-101.73469304290576
11,-48.28338017225487
12,-81.5910368092592
13,-39.418890209663175
14,-66.27195057871387
15,-40.49699606717416
16,-59.27773720405591
17,-73.0648837791372
18,-99.90311275932062
19,-61.24825820317143
20,-58.18192288564229
21,-37.71310845843791
22,-45.151771634343234
23,-34.226730720475466
24,-46.56851365117929
25,-61.15560740330644
26,-85.06183219182691
27,-48.16371736085905
28,-74.4407163301237
29,-56.91198519745045
30,-39.75504510794386
31,-47.43868988846726
32,-40.56975905968519
33,-77.44820382694162
34,-45.41059023205867
