episode,reward
0,-138.4546374045837
1,-133.42395046982804
2,-131.19233236404665
3,-126.63894534243727
4,-137.8112542823593
5,-139.34885872478227
6,-156.24007494104353
7,-157.35259258250056
8,-128.22946501082555
9,-142.49202816997018
10,-134.37070276806247
11,-139.7382610960962
12,-157.75624847304738
13,-128.66928334503433
14,-122.62000282422954
15,23.75595372623714
16,-133.59930554824186
17,-139.70794544769717
18,-140.84783162141792
19,-121.91216520425094
20,-135.1059724674334
21,-121.25550350187854
22,-142.51094012849344
23,-130.52106061754588
24,-130.33046595222964
25,-166.28501055305446
26,-129.9670959134909
27,-125.5600514204867
28,-137.12915726132704
29,-159.78705957536164
30,-144.77981547683777
31,-123.55670881972253
32,-131.4131561047196
33,-144.038746717117
34,-136.95593155134185
35,-137.6691651398619
36,-175.004348029018
37,-158.20379484257776
38,-128.7425135442454
39,-142.9263318365457
40,-142.00463108918404
41,-166.924391938023
42,-152.8303931326124
43,-167.8898686093656
44,-144.1606012869157
45,-175.32602325479428
