episode,reward
0,-338.78695520842246
1,-273.0193705051653
2,-147.5013790460813
3,-150.3250949261035
4,-172.59759129292644
5,-179.7184824702706
6,-416.5434170549254
7,-70.2019729075885
8,-57.00811176194356
9,-115.85499301357405
10,-141.25527019724245
11,-119.39232335006379
12,-123.4307937392418
13,-159.44139210016743
14,-141.3044753020336
15,-145.02116906250788
16,-176.6637361767796
17,-163.349728826692
18,-159.08833706334843
19,-150.23314232294177
20,-141.56571453981826
21,-117.60237592253665
22,-140.57953936007786
23,-125.54740707278059
24,-143.36201844256203
25,-132.93810472326595
26,-148.8477257394095
27,-136.64532467480336
28,-173.98303208373966
29,-159.46794666615676
30,44.57042127548188
31,-112.76161906283063
32,-140.024698410418
33,-135.85290069844422
34,-134.76320065068393
35,-144.84347905207625
36,-134.88247604738837
37,-152.18478951575736
38,-167.98032001542458
39,-100.0
40,-138.40117004406983
41,-142.43017046983994
42,-165.51304409490024
43,29.245271686526827
44,-308.4497341257659
45,-266.6338980439265
46,-216.65716991428494
47,-157.21643942345338
48,-146.02500453086145
49,-149.91466234398933
50,-155.34429115358807
51,-169.51183818413855
52,-156.3174002955177
53,-135.50028204875795
54,-151.07009178064837
55,-111.59618917582118
56,-146.44526060322383
57,-138.22572873680986
58,-119.78791944246785
59,32.1225634633481
60,-140.68716213310026
61,-146.824921640977
62,-182.76757128942194
63,-132.8144517104442
64,-130.81362695824984
65,-113.50823939943747
66,-128.66575743051973
67,-114.51673044007303
68,-147.6116194185866
69,34.104160693009135
70,-201.86718171343946
71,43.58365568470921
72,30.0332785560004
73,-131.94253639493533
74,-189.63940101059933
75,-148.77822078058043
76,-127.6850567070745
77,-120.16710166956805
78,-210.97326785516333
79,-150.43306504084936
80,-135.39973314581331
81,-127.03859857874384
82,-160.0760321788348
83,-180.407797443428
84,-179.1759366949767
85,-113.66152711843841
86,-184.93585900666386
87,-170.16397198137508
88,-169.4003587140468
89,-156.28410772144284
90,-172.419680892086
91,-127.14621518460262
92,-184.2786051283233
93,-145.88779000048123
94,-160.6306211965739
95,-137.98267489071657
96,-191.3787034082521
97,-135.76648194596646
98,-149.85387476780178
99,-188.63117159752053
100,-194.58432698945754
101,-124.44459968490662
102,-163.6121349400148
103,-144.01852544634298
104,21.614271840640043
105,-150.25616232830757
106,-126.37630331778627
107,28.109798293449696
108,-135.13194478164905
109,-139.10103896264357
110,-158.82749246358
111,-161.0071047918094
112,-165.87916202413675
113,-156.27484654056713
114,-217.9727294587853
115,-200.9798199824669
116,-167.3336089676266
117,-158.52305318452082
118,-32.18546053821461
119,-174.7285798194653
120,-166.98364145097884
121,-226.03905354858568
122,-230.42793553013968
123,-144.11741408052956
124,-108.47394814155376
125,41.645933883026046
126,67.8048598685003
127,-11.640911586292454
128,-215.51930525740698
129,-103.30720895165888
130,-159.4115997578939
131,-211.3999648759102
132,-39.70122881116595
133,-333.2662415690326
134,-144.98417048289537
135,-191.46865044873664
136,-119.13551532098654
137,-15.937535716305
138,-126.61602664721633
139,35.10010978533284
140,-39.747365775930135
141,-873.8643793325818
142,-108.45247741608829
143,-419.02306603081087
144,-1150.601476611488
145,-289.7610445817188
146,-228.9083190671359
147,-477.9958492141231
148,-126.5313927010239
149,-101.13910281283748
150,-215.03009672779402
